label,mean_weed_prob,pixel_count,area_m2,area_ha,zone,usage_L
106,0.06278793513774872,1943,4.857500000000001,0.00048575000000000007,Zona Gialla,0.00036431250000000005
107,0.06166345626115799,1873,4.682500000000001,0.0004682500000000001,Zona Gialla,0.00035118750000000005
108,0.06799151748418808,1425,3.562500000000001,0.00035625000000000007,Zona Gialla,0.00026718750000000006
109,0.055993713438510895,1331,3.3275000000000006,0.00033275000000000004,Zona Gialla,0.0002495625
110,0.06976038217544556,1449,3.6225000000000005,0.00036225000000000005,Zona Gialla,0.0002716875
111,0.07390403747558594,1412,3.5300000000000007,0.00035300000000000007,Zona Blu,0.00042360000000000016
112,0.08039991557598114,1916,4.790000000000001,0.0004790000000000001,Zona Blu,0.0005748000000000002
113,0.08200770616531372,1074,2.6850000000000005,0.0002685000000000001,Zona Blu,0.00032220000000000013
114,0.06274673342704773,2317,5.792500000000001,0.0005792500000000001,Zona Gialla,0.0004344375000000001
115,0.09218569844961166,2235,5.587500000000001,0.0005587500000000001,Zona Blu,0.0006705000000000002
116,0.08414050936698914,2640,6.600000000000001,0.0006600000000000001,Zona Blu,0.0007920000000000003
117,0.06753110140562057,1744,4.360000000000001,0.00043600000000000014,Zona Gialla,0.0003270000000000001
118,0.06261416524648666,1556,3.8900000000000006,0.0003890000000000001,Zona Gialla,0.00029175000000000007
119,0.05639609321951866,1517,3.792500000000001,0.0003792500000000001,Zona Gialla,0.0002844375000000001
120,0.05526655539870262,1613,4.032500000000001,0.00040325000000000007,Zona Gialla,0.0003024375000000001
121,0.06371549516916275,1287,3.2175000000000007,0.0003217500000000001,Zona Gialla,0.00024131250000000007
122,0.05521632730960846,1117,2.7925000000000004,0.00027925000000000004,Zona Gialla,0.00020943750000000004
123,0.06773129850625992,1473,3.6825000000000006,0.00036825000000000003,Zona Gialla,0.0002761875
124,0.056534528732299805,1096,2.7400000000000007,0.00027400000000000005,Zona Gialla,0.00020550000000000003
125,0.07081430405378342,1570,3.9250000000000007,0.00039250000000000005,Zona Blu,0.0004710000000000001
126,0.06367708742618561,1506,3.7650000000000006,0.00037650000000000004,Zona Gialla,0.000282375
127,0.11854540556669235,2063,5.157500000000001,0.00051575,Zona Rossa,0.000773625
128,0.12158959358930588,1687,4.217500000000001,0.0004217500000000001,Zona Rossa,0.0006326250000000002
129,0.07626710832118988,1699,4.2475000000000005,0.00042475000000000005,Zona Blu,0.0005097000000000001
130,0.07530729472637177,1397,3.4925000000000006,0.00034925000000000006,Zona Blu,0.00041910000000000016
131,0.06938136368989944,1474,3.6850000000000005,0.00036850000000000007,Zona Gialla,0.00027637500000000004
132,0.07262411713600159,1803,4.507500000000001,0.00045075000000000014,Zona Blu,0.0005409000000000003
133,0.07106451690196991,1668,4.170000000000001,0.0004170000000000001,Zona Blu,0.0005004000000000002
134,0.08826607465744019,1784,4.460000000000001,0.0004460000000000001,Zona Blu,0.0005352000000000002
135,0.0581282302737236,1430,3.5750000000000006,0.00035750000000000007,Zona Gialla,0.000268125
136,0.06171249970793724,1415,3.5375000000000005,0.00035375000000000006,Zona Gialla,0.00026531250000000003
137,0.06587040424346924,2166,5.415000000000001,0.0005415000000000001,Zona Gialla,0.0004061250000000001
138,0.05546417087316513,1897,4.742500000000001,0.00047425000000000006,Zona Gialla,0.00035568750000000005
139,0.05953216552734375,1336,3.3400000000000007,0.0003340000000000001,Zona Gialla,0.00025050000000000007
140,0.1240651085972786,1479,3.6975000000000007,0.00036975000000000007,Zona Rossa,0.0005546250000000001
141,0.0585857555270195,1506,3.7650000000000006,0.00037650000000000004,Zona Gialla,0.000282375
142,0.0523303858935833,1058,2.6450000000000005,0.00026450000000000003,Zona Gialla,0.00019837500000000004
143,0.0643220841884613,1499,3.747500000000001,0.0003747500000000001,Zona Gialla,0.00028106250000000006
144,0.05876065045595169,1869,4.672500000000001,0.0004672500000000001,Zona Gialla,0.00035043750000000005
145,0.05869324132800102,1732,4.330000000000001,0.0004330000000000001,Zona Gialla,0.00032475000000000006
146,0.07031779736280441,1742,4.355,0.00043550000000000007,Zona Blu,0.0005226000000000001
147,0.06503937393426895,1524,3.810000000000001,0.0003810000000000001,Zona Gialla,0.0002857500000000001
148,0.05857859551906586,1675,4.187500000000001,0.00041875000000000007,Zona Gialla,0.00031406250000000005
149,0.10840508341789246,1771,4.427500000000001,0.0004427500000000001,Zona Rossa,0.0006641250000000002
150,0.0782017931342125,1661,4.152500000000001,0.0004152500000000001,Zona Blu,0.0004983000000000001
151,0.06671284139156342,1915,4.7875000000000005,0.00047875000000000006,Zona Gialla,0.00035906250000000006
152,0.08248507231473923,1854,4.635000000000001,0.00046350000000000004,Zona Blu,0.0005562000000000002
153,0.05995859205722809,2333,5.832500000000001,0.0005832500000000001,Zona Gialla,0.0004374375000000001
154,0.06722214072942734,1484,3.710000000000001,0.0003710000000000001,Zona Gialla,0.00027825000000000007
155,0.06969159096479416,1574,3.935000000000001,0.0003935000000000001,Zona Gialla,0.00029512500000000003
156,0.0669286772608757,1149,2.8725000000000005,0.00028725000000000007,Zona Gialla,0.00021543750000000005
157,0.06053157523274422,1484,3.710000000000001,0.0003710000000000001,Zona Gialla,0.00027825000000000007
158,0.05709017068147659,1612,4.030000000000001,0.0004030000000000001,Zona Gialla,0.00030225000000000006
159,0.11597084999084473,2319,5.797500000000001,0.0005797500000000001,Zona Rossa,0.0008696250000000002
160,0.06058856099843979,1481,3.7025000000000006,0.0003702500000000001,Zona Gialla,0.00027768750000000005
161,0.11440639942884445,1346,3.3650000000000007,0.00033650000000000005,Zona Rossa,0.0005047500000000001
